HudongItem,relation,NewNode
马骏,instance of,人类
马骏,family name,马
声名狼藉,instance of,电影
端口映射,subclass of,forwarding
装订,instance of,手工业
斯卡格拉克海峡,instance of,海峡
胡一天,instance of,人类
马骏,educated at,莫斯科中山大学
装订,subclass of,活动
植物油,subclass of,食用油
意大利语族,instance of,语系
系统软件,instance of,软件类型
黑天鹅,instance of,生物分类单元
东湖公园,instance of,维基媒体消歧义页
第17届华鼎奖,instance of,颁奖典礼
黄淮学院,instance of,学术机构
声名狼藉,genre,传记电影
有道词典,operating system,Microsoft Windows
斯卡格拉克海峡,tributary,格罗马河
类地行星,instance of,天文对象类型
植物油,subclass of,食材
黑天鹅,taxon rank,种
黄淮学院,instance of,教育机构
声名狼藉,genre,剧情片
有道词典,operating system,麦金塔操作系统
装订,product or material produced,图书
斯卡格拉克海峡,tributary,Akerselva
胡一天,family name,胡
宋洋,instance of,人类
一路惊喜,instance of,电影
大家庭,instance of,电影
Cut,instance of,罗马尼亚的乡
音位,subclass of,vocal sound
哪吒,instance of,道教神
186,instance of,年
植物油,subclass of,vegetable fat
意大利语族,described by source,亚美尼亚苏维埃百科全书
系统软件,topic's main category,Category:系统软件
黑天鹅,parent taxon,Cygnus
第17届华鼎奖,follows,第13届华鼎奖
声名狼藉,genre,LGBT-related film
装订,intangible cultural heritage status,法国非物质文化遗产
斯卡格拉克海峡,tributary,Arendalsvassdraget
胡一天,place of birth,杭州市
一路惊喜,genre,浪漫喜剧
大家庭,genre,剧情片
Cut,country,罗马尼亚
音位,subclass of,主位单元
哪吒,instance of,虚构人物
186,part of,180年代
类地行星,opposite of,气体巨行星
植物油,subclass of,油
意大利语族,has part,拉丁-法利希语支
第17届华鼎奖,followed by,第19届华鼎奖
黄淮学院,located in the administrative territorial entity,驻马店市
装订,practiced by,bookbinder
斯卡格拉克海峡,tributary,Otra
胡一天,occupation,演员
宋洋,family name,宋
结晶学,instance of,物理学分支
韵母,part of,汉语音节结构
噪音,instance of,音乐术语
韩德馨,instance of,人类
华东交通大学,instance of,大学
足球小将,instance of,系列漫画
RTSP,instance of,计算机网络协议
猎毒人,instance of,电视节目系列
