HudongItem1,relation,HudongItem2
马骏,sex or gender,男
深圳市育才中学,country,中华人民共和国
有道词典,instance of,软件
四川文艺出版社,instance of,出版社
声名狼藉,main subject,死刑
有道词典,developer,有道
四川文艺出版社,country,中华人民共和国
斯卡格拉克海峡,part of,北海
胡一天,sex or gender,男
马骏,member of political party,中国共产党
类地行星,instance of,概念
装订,part of,出版
胡一天,country of citizenship,中华人民共和国
意大利语族,subclass of,印欧语系
系统软件,subclass of,软件
第17届华鼎奖,country,中华人民共和国
滤镜,instance of,软件
类地行星,subclass of,行星
黄淮学院,country,中华人民共和国
有道词典,operating system,iOS
宋洋,sex or gender,男
黑天鹅,endemic to,澳大利亚
声名狼藉,country of origin,美国
有道词典,operating system,Android
一路惊喜,country of origin,中华人民共和国
大家庭,country of origin,苏联
Cut,capital,Cut
第17届华鼎奖,part of the series,华鼎奖
声名狼藉,original language of film or TV show,英语
韩德馨,educated at,北京大学
华东交通大学,country,中华人民共和国
哪吒,sex or gender,男
QQ音乐,instance of,软件
韵母,opposite of,声母
足球小将,sport,足球
大家庭,original language of film or TV show,俄语
音位,different from,音节
一路惊喜,filming location,香港
张志东,sex or gender,男
QQ音乐,developer,腾讯
斯卡格拉克海峡,basin country,挪威
2016,follows,2015年
张志东,country of citizenship,中华人民共和国
高分子化学,subclass of,有机化学
足球小将,main subject,体育
猎毒人,country of origin,中华人民共和国
Cut,contains settlement,Cut
哪吒,present in work,西游记
斯卡格拉克海峡,basin country,丹麦
周培源,sex or gender,男
黄遵宪,sex or gender,男
2016,followed by,2017年
QQ音乐,operating system,Android
斯卡格拉克海峡,basin country,瑞典
周培源,country of citizenship,中华人民共和国
1994年美国世界杯,country,美国
QQ音乐,operating system,iOS
斯卡格拉克海峡,country,挪威
爱尔兰人,country,美国
QQ音乐,programming language,C++
斯卡格拉克海峡,country,丹麦
爱尔兰人,country,英国
斯卡格拉克海峡,country,瑞典
张志东,educated at,深圳大学
足球小将,country of origin,日本
足球小将,original language of film or TV show,日语
足球小将,language of work or name,日语
周培源,employer,清华大学
周培源,employer,北京大学
周培源,educated at,清华大学
1994年美国世界杯,sport,足球
周培源,educated at,芝加哥大学
1994年美国世界杯,organizer,国际足球联合会
2016,different from,2016
声名狼藉,narrative location,纽约
声名狼藉,filming location,纽约
1994年美国世界杯,statistical leader,赫里斯托·斯托伊奇科夫
史瓦西黑洞,subclass of,黑洞
我最好朋友的婚礼,country of origin,美国
无线通讯,subclass of,电磁波
张伯苓,sex or gender,男
摩托罗拉,instance of,上市公司
我最好朋友的婚礼,original language of film or TV show,英语
限定词,instance of,词类
蜀锦,country of origin,中国
张伯苓,country of citizenship,中华人民共和国
巴里·夏普莱斯,sex or gender,男
王家卫,sex or gender,男
朱晓渔,sex or gender,男
无线通讯,uses,电磁波
巴里·夏普莱斯,country of citizenship,美国
王家卫,country of citizenship,香港
德语,subclass of,高地德语
陨铁,material used,陨铁
科摩罗,instance of,国家
摩托罗拉,country,美国
中世纪,followed by,文艺复兴
固体,subclass of,物质
德语,country,德国
马仕俊,sex or gender,男
陈伟霆,sex or gender,男
谭嗣同,sex or gender,男
青岛科技大学,country,中华人民共和国
魏建功,sex or gender,男
王家卫,languages spoken written or signed,英语
德语,country,奥地利
